query_gene	annot_source	annot	annot_geneonly
LOC101670517	NA	NA	NA
LOC101670520	kristen_mm_hs_ortholog	Olfr718-ps1	Olfr718-ps1
LOC101670521	NA	NA	NA
LOC101670523	entrez_desc	eyes shut homolog	NA
LOC101670543	entrez_alias	HSPA1L	HSPA1L
LOC101670546	entrez_alias	PCDH8	PCDH8
LOC101670548	kristen_mm_hs_ortholog	OR5L2	OR5L2
LOC101670552	kristen_mm_hs_ortholog	RNF167	RNF167
LOC101670554	kristen_mm_hs_ortholog	PPP4R3C	PPP4R3C
LOC101670555	entrez_alias	CACYBP	CACYBP
LOC101670556	kristen_mm_hs_ortholog	TEX13D	TEX13D
LOC101670560	NA	NA	NA
LOC101670567	NA	NA	NA
LOC101670571	entrez_alias	CLEC4D	CLEC4D
LOC101670580	kristen_mm_hs_ortholog	Olfr586	Olfr586
LOC101693900	NA	NA	NA
LOC101670584	entrez_alias	EDEM2	EDEM2
LOC101670614	entrez_desc	cytochrome P450 2F2	NA
LOC101670619	NA	NA	NA
LOC101670624	entrez_desc	tubulin beta chain	NA
LOC101670626	entrez_desc	T cell receptor delta constant-like	NA
LOC101670630	entrez_desc	olfactory receptor 56A4-like	NA
LOC101670637	kristen_mm_hs_ortholog	Olfr1368	Olfr1368
LOC101670642	entrez_alias	MRAP	MRAP
LOC101670646	entrez_desc	39S ribosomal protein L13, mitochondrial-like	NA
LOC101670649	kristen_mm_hs_ortholog	OR7A10	OR7A10
LOC101670650	kristen_mm_hs_ortholog	OR4E2	OR4E2
LOC101670652	kristen_mm_hs_ortholog	Btnl1	Btnl1
LOC101670653	entrez_desc	olfactory receptor 4K15-like	NA
LOC101670654	entrez_desc	olfactory receptor 2T27-like	NA
LOC101670656	kristen_mm_hs_ortholog	Ftl1	Ftl1
LOC101670658	entrez_alias	TRAIP	TRAIP
LOC101670673	entrez_desc	F-box/WD repeat-containing protein 1A-like	NA
LOC101670706	NA	NA	NA
LOC101670709	NA	NA	NA
LOC101670710	entrez_alias	PET100	PET100
LOC101670715	NA	NA	NA
LOC101670720	NA	NA	NA
LOC101670731	kristen_mm_hs_ortholog	COX6B2	COX6B2
LOC101670740	NA	NA	NA
LOC101670744	entrez_alias	CPTP, GLTPD1	CPTP, GLTPD1
LOC101670748	kristen_mm_hs_ortholog	Olfr1239	Olfr1239
LOC101670751	entrez_alias	NCR1	NCR1
LOC101670754	entrez_desc	olfactory receptor 8B8-like	NA
LOC101670762	entrez_alias	CRCP	CRCP
LOC101670765	entrez_alias	TAAR8	TAAR8
LOC101670770	NA	NA	NA
LOC101670772	kristen_mm_hs_ortholog	C2orf16	C2orf16
LOC101670773	NA	NA	NA
LOC101670788	NA	NA	NA
LOC101670792	entrez_desc	plasmanylethanolamine desaturase	NA
LOC101670800	entrez_desc	60S ribosomal protein L9-like	NA
LOC101670804	entrez_alias	TIRAP	TIRAP
LOC101670817	entrez_desc	histone H2B type 2-E	NA
LOC101670818	entrez_alias	PET117	PET117
LOC101670827	entrez_desc	taste receptor type 2 member 43-like	NA
LOC101670828	NA	NA	NA
LOC101670830	kristen_mm_hs_ortholog	PSMC1	PSMC1
LOC101670840	kristen_mm_hs_ortholog	CYP11A1	CYP11A1
LOC101670847	entrez_desc	olfactory receptor 5D14-like	NA
LOC101670851	kristen_mm_hs_ortholog	Gm36368	Gm36368
LOC101670852	NA	NA	NA
LOC101670853	NA	NA	NA
LOC101670855	NA	NA	NA
LOC101670857	entrez_desc	melanoma-associated antigen B16	NA
LOC101670868	NA	NA	NA
LOC101670881	kristen_mm_hs_ortholog	ATP5PD	ATP5PD
LOC101670884	entrez_desc	secretoglobin family 1D member-like	NA
LOC101670885	NA	NA	NA
LOC101670895	NA	NA	NA
LOC101670905	kristen_mm_hs_ortholog	CALCA	CALCA
LOC101670915	kristen_mm_hs_ortholog	Tmbim7	Tmbim7
LOC101670922	entrez_desc	uridine 5'-monophosphate synthase-like	NA
LOC101670926	entrez_desc	zinc finger protein 77	NA
LOC101670930	NA	NA	NA
LOC101670931	entrez_desc	endogenous retrovirus group V member 2 Env polyprotein-like	NA
LOC101670933	entrez_desc	olfactory receptor 56A4-like	NA
LOC101670934	entrez_desc	olfactory receptor 51M1	NA
LOC101670942	kristen_mm_hs_ortholog	Olfr1368	Olfr1368
LOC101670946	entrez_desc	protein S100-A15A	NA
LOC101670947	kristen_mm_hs_ortholog	ZNF195	ZNF195
LOC101670952	kristen_mm_hs_ortholog	NME2	NME2
LOC101670957	entrez_desc	butyrophilin subfamily 3 member A2-like	NA
LOC101670958	entrez_desc	olfactory receptor 11H12-like	NA
LOC101670959	kristen_mm_hs_ortholog	OR2W3	OR2W3
LOC101670962	kristen_mm_hs_ortholog	Gm2663	Gm2663
LOC101670969	entrez_desc	trem-like transcript 4 protein	NA
LOC101670983	NA	NA	NA
LOC101670985	kristen_mm_hs_ortholog	CASP12	CASP12
LOC101671006	NA	NA	NA
LOC101671012	NA	NA	NA
LOC101671020	entrez_alias	MVP	MVP
LOC101671028	NA	NA	NA
LOC101671038	NA	NA	NA
LOC101671042	kristen_mm_hs_ortholog	COA8	COA8
LOC101671045	entrez_desc	histone H3.1	NA
LOC101671047	kristen_mm_hs_ortholog	OR4C6	OR4C6
LOC101671053	kristen_mm_hs_ortholog	Abcg2	Abcg2
LOC101671056	NA	NA	NA
LOC101671059	NA	NA	NA
LOC101671067	kristen_mm_hs_ortholog	Taar7e	Taar7e
LOC101671078	NA	NA	NA
LOC101671079	kristen_mm_hs_ortholog	OCIAD1	OCIAD1
LOC101671084	entrez_alias	TOR1AIP2	TOR1AIP2
LOC101671093	NA	NA	NA
LOC101671096	kristen_mm_hs_ortholog	RPS3A	RPS3A
LOC101671106	NA	NA	NA
LOC101679168	entrez_desc	histone H2A type 2-C-like	NA
LOC101671122	entrez_desc	T cell receptor delta variable 3-like	NA
LOC101671123	NA	NA	NA
LOC101671124	entrez_alias	CP	CP
LOC101671127	entrez_alias	TAS2R10	TAS2R10
LOC101671133	entrez_desc	vomeronasal type-1 receptor 4-like	NA
LOC101671142	entrez_desc	protocadherin-8-like	NA
LOC101671146	entrez_desc	olfactory receptor 5D13-like	NA
LOC101671154	entrez_alias	XIAP	XIAP
LOC101671161	entrez_alias	RGS7BP	RGS7BP
LOC101671174	kristen_mm_hs_ortholog	OR52E2	OR52E2
LOC101671185	NA	NA	NA
LOC101671187	NA	NA	NA
LOC101671189	NA	NA	NA
LOC101671196	entrez_desc	ATP synthase F(0) complex subunit C2, mitochondrial	NA
LOC101671200	entrez_desc	proline-rich proteoglycan 2-like	NA
LOC101671209	NA	NA	NA
LOC101671217	kristen_mm_hs_ortholog	RPL30	RPL30
LOC101671219	entrez_desc	40S ribosomal protein S24-like	NA
LOC101671220	entrez_alias	APMAP	APMAP
LOC101671225	entrez_alias	EBP	EBP
LOC101671227	NA	NA	NA
LOC101671233	entrez_desc	olfactory receptor 56A4	NA
LOC101671234	entrez_desc	olfactory receptor 51B5	NA
LOC101671235	entrez_alias	GABRG3	GABRG3
LOC101671241	kristen_mm_hs_ortholog	Olfr1368	Olfr1368
LOC101671244	NA	NA	NA
LOC101684724	entrez_alias	BTNL2	BTNL2
LOC101671253	kristen_mm_hs_ortholog	OR2AK2	OR2AK2
LOC106003295	entrez_desc	endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	NA
LOC101671258	kristen_mm_hs_ortholog	ZNF706	ZNF706
LOC101671264	kristen_mm_hs_ortholog	Irs3	Irs3
LOC101671272	NA	NA	NA
LOC101671290	kristen_mm_hs_ortholog	GTF3C6	GTF3C6
LOC101671291	entrez_alias	CLEC4E	CLEC4E
LOC101671296	entrez_alias	ADCY3	ADCY3
LOC101671306	NA	NA	NA
LOC101671307	kristen_mm_hs_ortholog	MS4A4A	MS4A4A
LOC101671308	entrez_desc	ATP-binding cassette sub-family C member 2-like	NA
LOC101671319	entrez_desc	proteinase-activated receptor 1-like	NA
LOC101671324	NA	NA	NA
LOC101671332	NA	NA	NA
LOC101671338	NA	NA	NA
LOC101671346	entrez_alias	ATP6AP1L	ATP6AP1L
LOC101671352	entrez_desc	X antigen family member 3-like	NA
LOC101671353	entrez_desc	putative neuroblastoma breakpoint family member 5	NA
LOC101671358	NA	NA	NA
LOC101671379	kristen_mm_hs_ortholog	TOR1AIP2	TOR1AIP2
LOC101671383	NA	NA	NA
LOC101671386	entrez_alias	BLCAP	BLCAP
LOC101671389	kristen_mm_hs_ortholog	BAAT	BAAT
LOC101671390	kristen_mm_hs_ortholog	MAN2B2	MAN2B2
LOC101671395	entrez_alias	LGALS3BP	LGALS3BP
LOC101671397	NA	NA	NA
LOC101671398	NA	NA	NA
LOC101671405	kristen_mm_hs_ortholog	CALCB	CALCB
LOC101671406	NA	NA	NA
LOC101671409	kristen_mm_hs_ortholog	GBP6	GBP6
LOC101671412	kristen_mm_hs_ortholog	Prorsd1	Prorsd1
LOC101671415	kristen_mm_hs_ortholog	CYP51A1	CYP51A1
LOC101671423	entrez_desc	T cell receptor alpha variable 9-2-like	NA
LOC101671424	NA	NA	NA
LOC101671430	kristen_mm_hs_ortholog	FRG2B	FRG2B
LOC101671436	entrez_desc	olfactory receptor 7A10-like	NA
LOC101671438	NA	NA	NA
LOC101671444	entrez_alias	ATRIP	ATRIP
LOC101671451	NA	NA	NA
LOC101671461	entrez_alias	TCAP	TCAP
LOC101671468	NA	NA	NA
LOC101671473	kristen_mm_hs_ortholog	OR52E2	OR52E2
LOC101671481	NA	NA	NA
LOC101671482	entrez_desc	protein SET-like	NA
LOC101671483	kristen_mm_hs_ortholog	OR4D2	OR4D2
LOC101671485	entrez_alias	SCGB1D2	SCGB1D2
LOC101671488	NA	NA	NA
LOC101671506	NA	NA	NA
LOC101671516	NA	NA	NA
LOC101671517	kristen_mm_hs_ortholog	NFATC3	NFATC3
LOC101671528	kristen_mm_hs_ortholog	OR52E8	OR52E8
LOC101671529	entrez_desc	olfactory receptor 51B2-like	NA
LOC101671235	entrez_desc	glia-derived nexin pseudogene	NA
LOC101671531	kristen_mm_hs_ortholog	H2AB1	H2AB1
LOC101671538	kristen_mm_hs_ortholog	Olfr1368	Olfr1368
LOC101671541	NA	NA	NA
LOC101671542	kristen_mm_hs_ortholog	NFYB	NFYB
LOC101671546	NA	NA	NA
LOC101671551	entrez_desc	HLA class II histocompatibility antigen, DR alpha chain	NA
LOC101671553	kristen_mm_hs_ortholog	Olfr315	Olfr315
LOC101671555	kristen_mm_hs_ortholog	Prss47	Prss47
LOC101671557	kristen_mm_hs_ortholog	Olfr633	Olfr633
LOC101671591	NA	NA	NA
LOC101671596	entrez_desc	5-hydroxytryptamine receptor 3C	NA
LOC101671619	entrez_alias	SARNP	SARNP
LOC101671625	entrez_alias	KRT75	KRT75
LOC101671626	NA	NA	NA
LOC101671628	NA	NA	NA
LOC101671634	entrez_alias	SOBP	SOBP
LOC101671636	kristen_mm_hs_ortholog	BTF3	BTF3
LOC101671638	entrez_alias	ACOT2	ACOT2
LOC101671645	entrez_alias	SURF1	SURF1
LOC101671647	NA	NA	NA
LOC101671658	NA	NA	NA
LOC101671660	NA	NA	NA
LOC101671671	entrez_desc	trace amine-associated receptor 3	NA
LOC101671676	entrez_desc	beta-galactosidase-1-like protein 2	NA
LOC101671699	NA	NA	NA
LOC101671711	NA	NA	NA
LOC101671717	kristen_mm_hs_ortholog	2700097O09Rik	2700097O09Rik
LOC101671726	entrez_alias	GBP6	GBP6
LOC101671729	NA	NA	NA
LOC101671731	entrez_alias	NAT1	NAT1
LOC101671734	kristen_mm_hs_ortholog	H2BC18	H2BC18
LOC101671744	entrez_desc	vomeronasal type-1 receptor 2	NA
LOC101671755	kristen_mm_hs_ortholog	OR7A10	OR7A10
LOC101671758	kristen_mm_hs_ortholog	Olfr1168	Olfr1168
LOC101671787	entrez_desc	olfactory receptor 52E1-like	NA
LOC101671789	NA	NA	NA
LOC101671791	entrez_alias	TRPC4AP	TRPC4AP
LOC101671795	kristen_mm_hs_ortholog	OR4D2	OR4D2
LOC101671796	kristen_mm_hs_ortholog	SCGB2A2	SCGB2A2
LOC101671797	entrez_desc	high affinity immunoglobulin epsilon receptor subunit beta	NA
LOC101671806	kristen_mm_hs_ortholog	CYP17A1	CYP17A1
LOC101671807	entrez_desc	translation initiation factor IF-2-like	NA
LOC101671813	NA	NA	NA
LOC101671818	NA	NA	NA
LOC101671826	NA	NA	NA
LOC101671834	NA	NA	NA
LOC101671837	kristen_mm_hs_ortholog	RTL8C	RTL8C
LOC101671838	kristen_mm_hs_ortholog	H2BC8	H2BC8
LOC101671840	kristen_mm_hs_ortholog	Olfr672	Olfr672
LOC101671842	kristen_mm_hs_ortholog	OR51V1	OR51V1
LOC101671843	entrez_desc	phosphatidylinositol-binding clathrin assembly protein-like	NA
LOC101671847	kristen_mm_hs_ortholog	Olfr1368	Olfr1368
LOC101671851	entrez_desc	zinc finger protein 493-like	NA
LOC101671852	NA	NA	NA
LOC101671859	entrez_desc	olfactory receptor 2W3	NA
LOC101671861	NA	NA	NA
LOC101671862	entrez_alias	HS3ST3B1	HS3ST3B1
LOC101671863	kristen_mm_hs_ortholog	MAGEB4	MAGEB4
LOC101671867	NA	NA	NA
LOC101671870	NA	NA	NA
LOC101671873	entrez_alias	ZMYM1	ZMYM1
LOC101670481	entrez_desc	zinc finger protein 775-like	NA
LOC101671885	kristen_mm_hs_ortholog	NDUFA3	NDUFA3
LOC101671890	entrez_alias	HTR3C	HTR3C
LOC101671891	NA	NA	NA
LOC101671904	NA	NA	NA
LOC101671913	kristen_mm_hs_ortholog	Tmem198b	Tmem198b
LOC101671917	entrez_alias	KRT6A	KRT6A
LOC101671922	NA	NA	NA
LOC101671925	NA	NA	NA
LOC101671928	entrez_desc	vesicle-associated membrane protein 714-like	NA
LOC101671931	NA	NA	NA
LOC101671932	entrez_alias	RNPEP	RNPEP
LOC101671939	entrez_desc	translation initiation factor IF-2-like	NA
LOC101671947	kristen_mm_hs_ortholog	Gm49339	Gm49339
LOC101671954	NA	NA	NA
LOC101671963	NA	NA	NA
LOC101671965	NA	NA	NA
LOC101671969	entrez_alias	GLB1L3	GLB1L3
LOC101671981	kristen_mm_hs_ortholog	Sec1	Sec1
LOC101671988	NA	NA	NA
LOC101671990	NA	NA	NA
LOC101671991	NA	NA	NA
LOC101671992	NA	NA	NA
LOC101672021	entrez_desc	cytochrome c oxidase subunit 7B, mitochondrial	NA
LOC101672037	entrez_alias	ZNF677	ZNF677
LOC101672051	NA	NA	NA
LOC101672052	kristen_mm_hs_ortholog	OR5D3P	OR5D3P
LOC101672053	kristen_mm_hs_ortholog	RNASE1	RNASE1
LOC101672057	kristen_mm_hs_ortholog	DYNC2LI1	DYNC2LI1
LOC101672060	NA	NA	NA
LOC101672063	entrez_desc	keratin-associated protein 12-1-like	NA
LOC101672065	kristen_mm_hs_ortholog	CYP4X1	CYP4X1
LOC101672075	kristen_mm_hs_ortholog	ACOT2	ACOT2
LOC101672081	entrez_desc	olfactory receptor 52D1-like	NA
LOC101672089	entrez_alias	TBP	TBP
LOC101672092	entrez_desc	secretoglobin family 1D member-like	NA
LOC101672095	kristen_mm_hs_ortholog	Cetn4	Cetn4
LOC101672099	NA	NA	NA
LOC101672110	NA	NA	NA
LOC101672114	kristen_mm_hs_ortholog	PTTG1	PTTG1
LOC101672123	kristen_mm_hs_ortholog	Olfr418	Olfr418
LOC101672130	entrez_desc	pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial-like	NA
LOC101672135	entrez_desc	cytochrome P450 27C1	NA
LOC101672139	NA	NA	NA
LOC101683478	entrez_desc	histone H4-like	NA
LOC101672144	kristen_mm_hs_ortholog	Olfr670	Olfr670
LOC101672146	entrez_desc	olfactory receptor 51I2-like	NA
LOC101672147	entrez_desc	olfactory receptor 1D2-like	NA
LOC101672151	kristen_mm_hs_ortholog	Olfr1368	Olfr1368
LOC101672152	entrez_desc	cytochrome b-c1 complex subunit 2, mitochondrial	NA
LOC101672158	kristen_mm_hs_ortholog	OR11H4	OR11H4
LOC101672165	NA	NA	NA
LOC101672166	kristen_mm_hs_ortholog	COX10	COX10
LOC101672177	NA	NA	NA
LOC101672187	entrez_alias	MMP10	MMP10
LOC101672488	entrez_desc	Ig kappa chain V-III region NG9-like	NA
LOC101672192	NA	NA	NA
LOC101672205	entrez_desc	5-hydroxytryptamine receptor 3C-like	NA
LOC101672219	kristen_mm_hs_ortholog	COX7A2L	COX7A2L
LOC101672225	entrez_alias	GNRH2	GNRH2
LOC101672798	entrez_desc	keratin, type II cytoskeletal 5-like	NA
LOC101672239	NA	NA	NA
LOC101672241	kristen_mm_hs_ortholog	Gm4952	Gm4952
LOC101672246	entrez_desc	testis-specific serine/threonine-protein kinase 5-like	NA
LOC101672248	NA	NA	NA
LOC101672250	entrez_desc	60S ribosomal protein L39	NA
LOC101670252	entrez_desc	leukocyte immunoglobulin-like receptor subfamily B member 3	NA
LOC101672258	NA	NA	NA
LOC101676033	entrez_desc	small nuclear ribonucleoprotein polypeptide G pseudogene	NA
LOC101672263	NA	NA	NA
LOC101672279	entrez_desc	histone H2B subacrosomal variant-like	NA
LOC101672280	NA	NA	NA
LOC101672284	NA	NA	NA
LOC101672285	NA	NA	NA
LOC101672289	NA	NA	NA
LOC101672291	NA	NA	NA
LOC101672300	kristen_mm_hs_ortholog	USP46	USP46
LOC101672302	NA	NA	NA
LOC101672330	entrez_alias	CINP	CINP
LOC101672337	entrez_alias	XCL1	XCL1
LOC101672339	NA	NA	NA
LOC101672340	NA	NA	NA
LOC101689039	entrez_desc	zinc finger protein 347-like	NA
LOC101672345	NA	NA	NA
LOC101672352	kristen_mm_hs_ortholog	Olfr1178	Olfr1178
LOC101672353	NA	NA	NA
LOC101672366	kristen_mm_hs_ortholog	Ldhb	Ldhb
LOC101672373	entrez_desc	heterogeneous nuclear ribonucleoprotein A1-like	NA
LOC101672376	kristen_mm_hs_ortholog	SFTPA1	SFTPA1
LOC101672378	entrez_desc	growth-regulated alpha protein	NA
LOC101672382	kristen_mm_hs_ortholog	CEACAM8	CEACAM8
LOC101672386	kristen_mm_hs_ortholog	Olfr594	Olfr594
LOC101672396	entrez_alias	INCENP	INCENP
LOC101672424	entrez_alias	CLEC18C	CLEC18C
LOC101672239	NA	NA	NA
LOC101672430	kristen_mm_hs_ortholog	H2BC1	H2BC1
LOC101672436	kristen_mm_hs_ortholog	Olfr1326-ps1	Olfr1326-ps1
LOC101672437	entrez_alias	GSDMD	GSDMD
LOC101672439	entrez_alias	GBGT1	GBGT1
LOC101672451	kristen_mm_hs_ortholog	RNASE6	RNASE6
LOC101672456	entrez_desc	protein FAM71A	NA
LOC101672478	entrez_alias	GLB1L2	GLB1L2
LOC101672482	entrez_desc	elongation factor 1-alpha 1-like	NA
LOC101672488	NA	NA	NA
LOC101672493	entrez_desc	40S ribosomal protein S9-like	NA
LOC101672499	entrez_alias	FKRP	FKRP
LOC101672508	entrez_desc	membrane-spanning 4-domains subfamily A member 4A-like	NA
LOC101672513	entrez_alias	PCNP	PCNP
LOC101672520	kristen_mm_hs_ortholog	Gm4846	Gm4846
LOC101672534	kristen_mm_hs_ortholog	TARM1	TARM1
LOC101672539	entrez_desc	importin subunit alpha-7-like	NA
LOC101672542	entrez_desc	spindlin-2-like	NA
LOC101672545	entrez_alias	PTPRCAP	PTPRCAP
LOC101672549	entrez_desc	olfactory receptor 52A5-like	NA
LOC101672552	entrez_alias	CNTN6	CNTN6
LOC101672555	entrez_alias	CDKN2A	CDKN2A
LOC101672289	NA	NA	NA
LOC101672775	entrez_desc	osteoclast stimulatory transmembrane protein-like	NA
LOC101672578	NA	NA	NA
LOC101672582	kristen_mm_hs_ortholog	OR13F1	OR13F1
LOC101672586	kristen_mm_hs_ortholog	CYP2D6	CYP2D6
LOC101672592	NA	NA	NA
LOC101672598	entrez_desc	guanylate-binding protein 6	NA
LOC101672604	NA	NA	NA
LOC101672615	entrez_desc	protein N-terminal asparagine amidohydrolase-like	NA
LOC101672622	entrez_alias	SELP	SELP
LOC101672627	entrez_desc	caprin-1-like	NA
LOC101672647	kristen_mm_hs_ortholog	Cyp4a12b	Cyp4a12b
LOC101672653	NA	NA	NA
LOC101672654	entrez_alias	TGOLN2	TGOLN2
LOC101672659	entrez_desc	60S ribosomal protein L31-like	NA
LOC101672661	NA	NA	NA
LOC101672663	entrez_desc	growth-regulated protein homolog	NA
LOC101672667	kristen_mm_hs_ortholog	CEACAM8	CEACAM8
LOC101672671	entrez_desc	olfactory receptor 52J3-like	NA
LOC101672683	kristen_mm_hs_ortholog	Rpl29	Rpl29
